"cpi","month","year"
100.68,"Jun",2025
100.757,"May",2025
100.796,"Apr",2025
100.379,"Mar",2025
100.546,"Feb",2025
100.477,"Jan",2025
100.441,"Dec",2024
100.168,"Nov",2024
100.375,"Oct",2024
100.425,"Sep",2024
100.195,"Aug",2024
100.073,"Jul",2024
99.885,"Jun",2024
99.99,"May",2024
99.935,"Apr",2024
99.494,"Mar",2024
99.479,"Feb",2024
99.459,"Jan",2024
99.015,"Dec",2023
98.646,"Nov",2023
99.263,"Oct",2023
98.614,"Sep",2023
98.117,"Aug",2023
97.701,"Jul",2023
97.485,"Jun",2023
97.022,"May",2023
97.401,"Apr",2023
96.634,"Mar",2023
96.236,"Feb",2023
95.914,"Jan",2023
95.434,"Dec",2022
95.24,"Nov",2022
94.751,"Oct",2022
94.699,"Sep",2022
94.29,"Aug",2022
93.836,"Jul",2022
93.27,"Jun",2022
92.351,"May",2022
92.097,"Apr",2022
91.565,"Mar",2022
90.522,"Feb",2022
89.943,"Jan",2022
89.634,"Dec",2021
89.223,"Nov",2021
88.758,"Oct",2021
88.104,"Sep",2021
87.738,"Aug",2021
87.653,"Jul",2021
87.426,"Jun",2021
87.431,"May",2021
87.352,"Apr",2021
86.877,"Mar",2021
86.607,"Feb",2021
86.616,"Jan",2021
86.217,"Dec",2020
85.906,"Nov",2020
85.976,"Oct",2020
85.916,"Sep",2020
85.63,"Aug",2020
85.494,"Jul",2020
85.364,"Jun",2020
85.346,"May",2020
85.565,"Apr",2020
85.731,"Mar",2020
86.103,"Feb",2020
86.249,"Jan",2020
86.184,"Dec",2019
86.019,"Nov",2019
86.134,"Oct",2019
85.928,"Sep",2019
85.982,"Aug",2019
85.837,"Jul",2019
85.833,"Jun",2019
86.08,"May",2019
86.201,"Apr",2019
85.776,"Mar",2019
85.782,"Feb",2019
85.597,"Jan",2019
85.53,"Dec",2018
85.466,"Nov",2018
85.714,"Oct",2018
85.589,"Sep",2018
85.609,"Aug",2018
85.639,"Jul",2018
85.374,"Jun",2018
85.326,"May",2018
85.403,"Apr",2018
85.197,"Mar",2018
85.251,"Feb",2018
85.431,"Jan",2018
85.15,"Dec",2017
85.234,"Nov",2017
85.144,"Oct",2017
84.986,"Sep",2017
85.005,"Aug",2017
85.124,"Jul",2017
84.919,"Jun",2017
85.04,"May",2017
85.374,"Apr",2017
85.012,"Mar",2017
85.052,"Feb",2017
84.902,"Jan",2017
84.845,"Dec",2016
84.714,"Nov",2016
84.675,"Oct",2016
84.686,"Sep",2016
84.678,"Aug",2016
84.663,"Jul",2016
84.499,"Jun",2016
84.49,"May",2016
84.426,"Apr",2016
84.469,"Mar",2016
84.413,"Feb",2016
84.541,"Jan",2016
84.706,"Dec",2015
84.699,"Nov",2015
84.884,"Oct",2015
84.894,"Sep",2015
84.893,"Aug",2015
85.2,"Jul",2015
85.116,"Jun",2015
85.208,"May",2015
85.427,"Apr",2015
85.354,"Mar",2015
85.029,"Feb",2015
85.189,"Jan",2015
85.254,"Dec",2014
85.351,"Nov",2014
85.549,"Oct",2014
85.447,"Sep",2014
85.604,"Aug",2014
85.539,"Jul",2014
85.404,"Jun",2014
85.547,"May",2014
85.869,"Apr",2014
85.609,"Mar",2014
85.459,"Feb",2014
85.326,"Jan",2014
85.308,"Dec",2013
85.579,"Nov",2013
85.336,"Oct",2013
84.845,"Sep",2013
84.721,"Aug",2013
84.428,"Jul",2013
83.81,"Jun",2013
83.639,"May",2013
83.937,"Apr",2013
84.595,"Mar",2013
85.005,"Feb",2013
84.256,"Jan",2013
84.151,"Dec",2012
83.54,"Nov",2012
83.434,"Oct",2012
83.604,"Sep",2012
83.128,"Aug",2012
82.614,"Jul",2012
82.423,"Jun",2012
82.418,"May",2012
82.245,"Apr",2012
81.821,"Mar",2012
81.262,"Feb",2012
81.34,"Jan",2012
80.898,"Dec",2011
80.512,"Nov",2011
80.066,"Oct",2011
79.754,"Sep",2011
79.888,"Aug",2011
79.317,"Jul",2011
78.535,"Jun",2011
78.348,"May",2011
78.449,"Apr",2011
77.623,"Mar",2011
77.549,"Feb",2011
77.517,"Jan",2011
76.692,"Dec",2010
76.243,"Nov",2010
75.991,"Oct",2010
75.678,"Sep",2010
75.608,"Aug",2010
75.261,"Jul",2010
74.662,"Jun",2010
75.025,"May",2010
74.596,"Apr",2010
74,"Mar",2010
73.771,"Feb",2010
73.64,"Jan",2010
73.284,"Dec",2009
73.394,"Nov",2009
73.353,"Oct",2009
73.008,"Sep",2009
73.17,"Aug",2009
72.909,"Jul",2009
72.648,"Jun",2009
72.61,"May",2009
72.635,"Apr",2009
72.92,"Mar",2009
73.174,"Feb",2009
73.277,"Jan",2009
73.687,"Dec",2008
74.005,"Nov",2008
74.055,"Oct",2008
73.474,"Sep",2008
73.403,"Aug",2008
73.124,"Jul",2008
72.693,"Jun",2008
72.468,"May",2008
72.025,"Apr",2008
71.117,"Mar",2008
70.84,"Feb",2008
70.376,"Jan",2008
69.93,"Dec",2007
70.114,"Nov",2007
69.582,"Oct",2007
68.796,"Sep",2007
68.963,"Aug",2007
68.607,"Jul",2007
67.574,"Jun",2007
67.386,"May",2007
66.949,"Apr",2007
66.438,"Mar",2007
66.388,"Feb",2007
66.358,"Jan",2007
67.089,"Dec",2006
66.889,"Nov",2006
66.889,"Oct",2006
66.689,"Sep",2006
66.686,"Aug",2006
66.649,"Jul",2006
66.33,"Jun",2006
66.568,"May",2006
66.667,"Apr",2006
66.487,"Mar",2006
66.586,"Feb",2006
66.626,"Jan",2006
66.524,"Dec",2005
66.502,"Nov",2005
66.583,"Oct",2005
66.385,"Sep",2005
66.219,"Aug",2005
65.908,"Jul",2005
65.558,"Jun",2005
65.826,"May",2005
65.929,"Apr",2005
65.704,"Mar",2005
65.69,"Feb",2005
65.718,"Jan",2005
65.667,"Dec",2004
65.837,"Nov",2004
65.856,"Oct",2004
65.952,"Sep",2004
65.745,"Aug",2004
65.83,"Jul",2004
65.652,"Jun",2004
65.82,"May",2004
65.662,"Apr",2004
65.569,"Mar",2004
65.765,"Feb",2004
65.447,"Jan",2004
64.924,"Dec",2003
64.807,"Nov",2003
64.719,"Oct",2003
64.764,"Sep",2003
64.696,"Aug",2003
64.62,"Jul",2003
64.219,"Jun",2003
64.411,"May",2003
64.822,"Apr",2003
64.69,"Mar",2003
64.568,"Feb",2003
64.572,"Jan",2003
64.443,"Dec",2002
64.446,"Nov",2002
64.303,"Oct",2002
64.321,"Sep",2002
64.401,"Aug",2002
64.448,"Jul",2002
64.427,"Jun",2002
64.467,"May",2002
64.267,"Apr",2002
